id,continent,area,timeZone
662,Africa,"Abidjan, Africa",Africa/Abidjan
663,Africa,"Algiers, Africa",Africa/Algiers
664,Africa,"Bissau, Africa",Africa/Bissau
665,Africa,"Cairo, Africa",Africa/Cairo
666,Africa,"Casablanca, Africa",Africa/Casablanca
667,Africa,"Ceuta, Africa",Africa/Ceuta
668,Africa,"El Aaiun, Africa",Africa/El_Aaiun
669,Africa,"Johannesburg, Africa",Africa/Johannesburg
670,Africa,"Juba, Africa",Africa/Juba
671,Africa,"Khartoum, Africa",Africa/Khartoum
672,Africa,"Lagos, Africa",Africa/Lagos
673,Africa,"Maputo, Africa",Africa/Maputo
674,Africa,"Monrovia, Africa",Africa/Monrovia
675,Africa,"Nairobi, Africa",Africa/Nairobi
676,Africa,"Ndjamena, Africa",Africa/Ndjamena
677,Africa,"Sao Tome, Africa",Africa/Sao_Tome
678,Africa,"Tripoli, Africa",Africa/Tripoli
679,Africa,"Tunis, Africa",Africa/Tunis
680,Africa,"Windhoek, Africa",Africa/Windhoek
681,America,"Adak, America",America/Adak
682,America,"Anchorage, America",America/Anchorage
683,America,"Araguaina, America",America/Araguaina
684,America,"Buenos Aires, Argentina, America",America/Argentina/Buenos_Aires
685,America,"Catamarca, Argentina, America",America/Argentina/Catamarca
686,America,"Cordoba, Argentina, America",America/Argentina/Cordoba
687,America,"Jujuy, Argentina, America",America/Argentina/Jujuy
688,America,"La Rioja, Argentina, America",America/Argentina/La_Rioja
689,America,"Mendoza, Argentina, America",America/Argentina/Mendoza
690,America,"Rio Gallegos, Argentina, America",America/Argentina/Rio_Gallegos
691,America,"Salta, Argentina, America",America/Argentina/Salta
692,America,"San Juan, Argentina, America",America/Argentina/San_Juan
693,America,"San Luis, Argentina, America",America/Argentina/San_Luis
694,America,"Tucuman, Argentina, America",America/Argentina/Tucuman
695,America,"Ushuaia, Argentina, America",America/Argentina/Ushuaia
696,America,"Asuncion, America",America/Asuncion
697,America,"Bahia, America",America/Bahia
698,America,"Bahia Banderas, America",America/Bahia_Banderas
699,America,"Barbados, America",America/Barbados
700,America,"Belem, America",America/Belem
701,America,"Belize, America",America/Belize
702,America,"Boa Vista, America",America/Boa_Vista
703,America,"Bogota, America",America/Bogota
704,America,"Boise, America",America/Boise
705,America,"Cambridge Bay, America",America/Cambridge_Bay
706,America,"Campo Grande, America",America/Campo_Grande
707,America,"Cancun, America",America/Cancun
708,America,"Caracas, America",America/Caracas
